,Study_number,Rs_annual,Study_midyear,geometry,color
4821,6299.0,845.0,1243814400.0,POINT (-84.48 31.27),#3d9f00ff
4843,6334.0,713.0,1275350400.0,POINT (-0.85 51.16666667),#349a00ff
4841,6334.0,697.0,1212278400.0,POINT (-0.85 51.16666667),#329900ff
4840,6334.0,791.0,1180656000.0,POINT (-0.85 51.16666667),#399d00ff
4842,6334.0,760.0,1243814400.0,POINT (-0.85 51.16666667),#379c00ff
4859,6347.0,1186.0,1243814400.0,POINT (-124.9016667 49.51972222),#56ab00ff
4858,6347.0,1326.0,1212278400.0,POINT (-124.9016667 49.51972222),#60b000ff
4856,6347.0,1666.0,1149120000.0,POINT (-124.9016667 49.51972222),#79bd00ff
4855,6347.0,890.0,1243814400.0,POINT (-125.3350833 49.86883333),#41a000ff
4854,6347.0,826.0,1212278400.0,POINT (-125.3350833 49.86883333),#3c9e00ff
4853,6347.0,928.0,1180656000.0,POINT (-125.3350833 49.86883333),#43a200ff
4851,6347.0,990.0,1117584000.0,POINT (-125.3350833 49.86883333),#48a400ff
4850,6347.0,963.0,1086048000.0,POINT (-125.3350833 49.86883333),#46a300ff
4849,6347.0,938.0,1054425600.0,POINT (-125.3350833 49.86883333),#44a200ff
4857,6347.0,1638.0,1180656000.0,POINT (-124.9016667 49.51972222),#77bc00ff
4852,6347.0,968.0,1149120000.0,POINT (-125.3350833 49.86883333),#46a300ff
4862,6355.0,1264.0,1275350400.0,POINT (126.98 37.55),#5cae00ff
4865,6372.0,1020.0,1180656000.0,POINT (-78.825 49.158),#4aa500ff
4867,6372.0,1353.0,1180656000.0,POINT (-78.825 49.158),#62b100ff
4866,6372.0,1462.0,1180656000.0,POINT (-78.825 49.158),#6ab500ff
4876,6381.0,1097.0,1086048000.0,POINT (-91.2 37.1),#50a800ff
4875,6381.0,1309.0,1086048000.0,POINT (-91.2 37.1),#5fb000ff
4874,6381.0,1193.0,1086048000.0,POINT (-91.2 37.1),#57ab00ff
4878,6391.0,761.0,1212278400.0,POINT (112 33.5),#379c00ff
4877,6391.0,802.0,1212278400.0,POINT (112 33.5),#3a9d00ff
4879,6396.0,325.0,1243814400.0,POINT (102 30),#178c00ff
4880,6396.0,260.0,1243814400.0,POINT (102 30),#138900ff
4881,6396.0,380.0,1243814400.0,POINT (102 30),#1b8e00ff
4882,6396.0,560.0,1243814400.0,POINT (102 30),#289400ff
4883,6396.0,770.0,1243814400.0,POINT (102 30),#389c00ff
4884,6396.0,1031.0,1243814400.0,POINT (102 30),#4ba600ff
4902,6422.0,475.0,1275350400.0,POINT (26.30944444 64.49222222),#229100ff
4900,6422.0,238.0,1275350400.0,POINT (26.30944444 64.49222222),#118900ff
4901,6422.0,420.0,1275350400.0,POINT (26.30944444 64.49222222),#1e8f00ff
4904,6425.0,676.0,1212278400.0,POINT (-76.15694444 35.90611111),#319900ff
4905,6425.0,619.0,1212278400.0,POINT (-76.15694444 35.90611111),#2d9700ff
4906,6425.0,385.0,1212278400.0,POINT (-76.15694444 35.90611111),#1c8e00ff
4907,6425.0,985.0,1212278400.0,POINT (-76.15694444 35.90611111),#48a400ff
4908,6425.0,633.0,1212278400.0,POINT (-76.15694444 35.90611111),#2e9700ff
4903,6425.0,646.0,1212278400.0,POINT (-76.15694444 35.90611111),#2f9800ff
4913,6432.0,520.0,1054425600.0,POINT (7.07 48.67),#269300ff
4914,6432.0,730.0,1054425600.0,POINT (7.07 48.67),#359b00ff
4912,6432.0,580.0,1054425600.0,POINT (7.07 48.67),#2a9500ff
4911,6432.0,510.0,1054425600.0,POINT (7.07 48.67),#259300ff
4910,6432.0,790.0,1054425600.0,POINT (7.07 48.67),#399d00ff
4915,6432.0,630.0,1054425600.0,POINT (7.07 48.67),#2e9700ff
4909,6432.0,600.0,1054425600.0,POINT (7.07 48.67),#2b9600ff
4926,6438.0,850.0,1212278400.0,POINT (-76.667 35.8),#3e9f00ff
4930,6438.0,1175.0,1149120000.0,POINT (-76.667 35.8),#55ab00ff
4923,6438.0,1727.0,1117584000.0,POINT (-76.667 35.8),#7ebf00ff
4924,6438.0,1250.0,1149120000.0,POINT (-76.667 35.8),#5bae00ff
4925,6438.0,990.0,1180656000.0,POINT (-76.667 35.8),#48a400ff
4927,6438.0,1125.0,1243814400.0,POINT (-76.667 35.8),#52a900ff
4928,6438.0,1300.0,1086048000.0,POINT (-76.667 35.8),#5faf00ff
4929,6438.0,1150.0,1117584000.0,POINT (-76.667 35.8),#54aa00ff
4938,6442.0,682.0,1117584000.0,POINT (29.86666667 63.05),#319900ff
4939,6442.0,1091.0,1117584000.0,POINT (29.86666667 63.05),#4fa800ff
4945,6442.0,3900.0,1117584000.0,POINT (29.86666667 63.05),#ffe200ff
4944,6442.0,2918.0,1117584000.0,POINT (29.86666667 63.05),#d5ea00ff
4943,6442.0,2755.0,1117584000.0,POINT (29.86666667 63.05),#c9e400ff
4942,6442.0,1145.0,1117584000.0,POINT (29.86666667 63.05),#53aa00ff
4941,6442.0,982.0,1117584000.0,POINT (29.86666667 63.05),#47a400ff
4940,6442.0,818.0,1117584000.0,POINT (29.86666667 63.05),#3b9e00ff
4946,6443.0,578.0,1149120000.0,POINT (24.35 60.65),#2a9500ff
4947,6446.0,435.0,1243814400.0,POINT (-7.25 52.95),#1f9000ff
